Country,Title,Link
Germany,Doctoral or Postdoctoral Positions in the Machine Learning and Information Processing Group at TUM,https://scholarshipdb.net/scholarships-in-Germany/Doctoral-Or-Postdoctoral-Positions-In-The-Machine-Learning-And-Information-Processing-Group-At-Tum-Technical-University-Of-Munich=sighLY607BGUYQAlkGUTnw.html
Germany,Doctoral positions,https://scholarshipdb.net/scholarships-in-Germany/Doctoral-Positions-Technische-Universit-t-M-nchen=p5oIVYfA7BGUYQAlkGUTnw.html
Germany,PhD Position – Computational quantum many-body physics,https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Position-Computational-Quantum-Many-Body-Physics-J-lich-Research-Centre-Fzj=BVnuwB7J7BGUYQAlkGUTnw.html
Ireland,Fully Funded Research Masters Student Position in Deep Learning for Biomedical Applications,https://www.findaphd.com/phds/project/fully-funded-research-masters-student-position-in-deep-learning-for-biomedical-applications/?p144295
Ireland,Using Machine Learning Techniques to Detect Emotional Traits and Mathematics Anxiety Levels From Game Data,https://www.findaphd.com/phds/project/using-machine-learning-techniques-to-detect-emotional-traits-and-mathematics-anxiety-levels-from-game-data/?p136342
Netherlands,Multiple PhD Positions in Machine Learning,https://scholarshipdb.net/scholarships-in-Netherlands/Multiple-Ph-D-Positions-In-Machine-Learning-University-Of-Amsterdam-Uv-A=MyVO_xPM7BGUYQAlkGUTnw.html
Netherlands,Multiple PhD Positions in Machine Learning,https://scholarshipdb.net/scholarships-in-Netherlands/Multiple-Ph-D-Positions-In-Machine-Learning-University-Of-Amsterdam=fH2cjsnL7BGUYQAlkGUTnw.html
Norway,PhD Candidate on Video Quality Assessment and Enhancement for Medical Services,https://scholarshipdb.net/scholarships-in-Norway/Ph-D-Candidate-On-Video-Quality-Assessment-And-Enhancement-For-Medical-Services-Ntnu=xDx_qLHK7BGUYQAlkGUTnw.html
Spain,Doctoral Researcher in mathematical analyis & numerical analysis for models in machine learning,https://scholarshipdb.net/scholarships-in-Spain/Doctoral-Researcher-In-Mathematical-Analyis-Numerical-Analysis-For-Models-In-Machine-Learning-Technische-Universit-t-M-nchen=zi4fjkvA7BGUYQAlkGUTnw.html
Sweden,PhD student in Scientific Computing focusing on Deep Learning for Genetic Epidemiology,https://scholarshipdb.net/scholarships-in-Sweden/Ph-D-Student-In-Scientific-Computing-Focusing-On-Deep-Learning-For-Genetic-Epidemiology-Uppsala-University=xTMTAovG7BGUYQAlkGUTnw.html
Sweden,PhD students in Visualization and Media technology with focus machine learning for image generation,https://scholarshipdb.net/scholarships-in-Sweden/Ph-D-Students-In-Visualization-And-Media-Technology-With-Focus-Machine-Learning-For-Image-Generation-Link-ping-University=ivtGNTDR7BGUYQAlkGUTnw.html
Switzerland,Multiple PhD Positions in Machine Learning for Healthcare (# of pos: 2),https://scholarshipdb.net/scholarships-in-Switzerland/Multiple-Ph-D-Positions-In-Machine-Learning-For-Healthcare-Of-Pos-2-University-Of-Bern=NFFFAf607BGUYQAlkGUTnw.html
Switzerland,PhD Position,https://scholarshipdb.net/scholarships-in-Switzerland/Ph-D-Position-University-Of-Basel=XmyzGdrL7BGUYQAlkGUTnw.html
United Kingdom,"Automated Classification and Identification of Plant Specimens of the Royal Botanic Gardens Kew Using Imaging Processing, AI and Machine Learning",https://www.findaphd.com/phds/project/automated-classification-and-identification-of-plant-specimens-of-the-royal-botanic-gardens-kew-using-imaging-processing-ai-and-machine-learning/?p144571
United Kingdom,Data-Driven Defect Detection for Additive Manufacturing”,https://www.findaphd.com/phds/project/data-driven-defect-detection-for-additive-manufacturing/?p144423
United Kingdom,Deep Learning and Partial Differential Equations,https://www.findaphd.com/phds/project/deep-learning-and-partial-differential-equations/?p138769
United Kingdom,Discovery of high-temperature superconductors using Deep Learning,https://www.findaphd.com/phds/project/discovery-of-high-temperature-superconductors-using-deep-learning/?p140230
United Kingdom,Discovery of new materials for applications on glass using Deep Machine Learning and Data Analytics,https://www.findaphd.com/phds/project/discovery-of-new-materials-for-applications-on-glass-using-deep-machine-learning-and-data-analytics/?p142079
United Kingdom,Discovery of solid state electrolytes using Deep Learning,https://www.findaphd.com/phds/project/discovery-of-solid-state-electrolytes-using-deep-learning/?p140199
United Kingdom,EPSRC DTP PhD Studentship: Building interpretable generative models of images,https://scholarshipdb.net/scholarships-in-United-Kingdom/Epsrc-Dtp-Ph-D-Studentship-Building-Interpretable-Generative-Models-Of-Images-University-Of-Sussex=0uLygSrM7BGUYQAlkGUTnw.html
United Kingdom,EPSRC/BAE Systems INDUSTRIAL CASE PhD Studentship - Mitigation of Reinforcement Learning Algorithms in Changing Environments,https://scholarshipdb.net/scholarships-in-United-Kingdom/Epsrc-Bae-Systems-Industrial-Case-Ph-D-Studentship-Mitigation-Of-Reinforcement-Learning-Algorithms-In-Changing-Environments-The-University-Of-Manchester=Nv-i4HLQ7BGUYQAlkGUTnw.html
United Kingdom,PhD Studentship Opportunity: Machine Learning for Audio with Applications for Health and Wellbeing,https://scholarshipdb.net/scholarships-in-United-Kingdom/Ph-D-Studentship-Opportunity-Machine-Learning-For-Audio-With-Applications-For-Health-And-Wellbeing-University-Of-Surrey=S8g0ej-R7BGUYQAlkGUTnw.html
United Kingdom,PhD Studentship in Formal Methods for Safe Artificial Intelligence,https://scholarshipdb.net/scholarships-in-United-Kingdom/Ph-D-Studentship-In-Formal-Methods-For-Safe-Artificial-Intelligence-University-Of-Birmingham=8myJpT-R7BGUYQAlkGUTnw.html
United Kingdom,PhD studentship in Formal Methods for Safe Artificial Intelligence,https://www.findaphd.com/phds/project/phd-studentship-in-formal-methods-for-safe-artificial-intelligence/?p144523
United Kingdom,Probabilistic programming for discovery of sustainable materials,https://www.findaphd.com/phds/project/probabilistic-programming-for-discovery-of-sustainable-materials/?p139631
United Kingdom,Representation Learning from Fewer Labels,https://www.findaphd.com/phds/project/representation-learning-from-fewer-labels/?p144038
United Kingdom,"Research Assistant under Division of Science, Computer Science, Prof. Djellel Difallah",https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Assistant-Under-Division-Of-Science-Computer-Science-Prof-Djellel-Difallah-New-York-University-Abu-Dhabi=k9Djv-2-7BGUYQAlkGUTnw.html
