Country,Date,Title,Link
Australia,about 1 hour ago,PhD Scholarship in Machine Learning-Enabled Processing and Visualization of Dissolved Metal Ion Sensing Data,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Scholarship-In-Machine-Learning-Enabled-Processing-And-Visualization-Of-Dissolved-Metal-Ion-Sensing-Data-Rmit-University=nIewkafW7BGUYQAlkGUTnw.html
Australia,about 2 hours ago,PhD Scholarship in Data-Driven IoT Security,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Scholarship-In-Data-Driven-Io-T-Security-Rmit-University=g5mZCIQR7RGUYQAlkGUTnw.html
Australia,about 10 hours ago,Two PhD scholarships in BioMedical Machine Learning Lab at UNSW SYDNEY,https://scholarshipdb.net/scholarships-in-Australia/Two-Ph-D-Scholarships-In-Bio-Medical-Machine-Learning-Lab-At-Unsw-Sydney-Unsw-Sydney=7NGjIybwI_x6qFVI8hY9NZ.html
Australia,about 13 hours ago,Embedded Intelligence – Deep Learning Algorithms and Architectures for Efficient Hardware Implementation PhD Scholarship,https://scholarshipdb.net/scholarships-in-Australia/Embedded-Intelligence-Deep-Learning-Algorithms-And-Architectures-For-Efficient-Hardware-Implementation-Ph-D-Scholarship-University-Of-The-Sunshine-Coast=bycnUriD7BGUYAAlkGUTnw.html
Australia,about 20 hours ago,AI-based bone fracture detection and classification (PhD Scholarship),https://scholarshipdb.net/scholarships-in-Australia/Ai-Based-Bone-Fracture-Detection-And-Classification-Ph-D-Scholarship-Queensland-University-Of-Technology=9tbhyLyt7BGUYQAlkGUTnw.html
Belgium,about 6 hours ago,PhD student: deep learning for cancer genomics,https://scholarshipdb.net/scholarships-in-Belgium/Ph-D-Student-Deep-Learning-For-Cancer-Genomics-Katholieke-Universiteit-Leuven=25WWcaIM7RGUYQAlkGUTnw.html
Belgium,about 8 hours ago,PhD Student,https://scholarshipdb.net/scholarships-in-Belgium/Ph-D-Student-Ghent-University=8iKwzAsH7RGUYQAlkGUTnw.html
Belgium,about 8 hours ago,PhD Student,https://scholarshipdb.net/scholarships-in-Belgium/Ph-D-Student-Ghent-University=0aInNQwH7RGUYQAlkGUTnw.html
Belgium,about 22 hours ago,PhD student: deep learning for cancer genomics,https://scholarshipdb.net/scholarships-in-Belgium/Ph-D-Student-Deep-Learning-For-Cancer-Genomics-Vib=TFy4AXgK7RGUYQAlkGUTnw.html
Belgium,7 days ago,PhD student: deep learning for cancer genomics,https://scholarshipdb.net/scholarships-in-Belgium/Ph-D-Student-Deep-Learning-For-Cancer-Genomics-Flanders-Institute-For-Biotechnology-Vib=0L0rg1YL7RGUYQAlkGUTnw.html
Belgium,27 days ago,PhD studentship in Uncertainty Quantification for Machine Learning,https://scholarshipdb.net/scholarships-in-Belgium/Ph-D-Studentship-In-Uncertainty-Quantification-For-Machine-Learning-Ghent-University=bFHUXKP87BGUYQAlkGUTnw.html
Belgium,29 days ago,PhD studentship in Uncertainty Quantification for Machine Learning,https://scholarshipdb.net/scholarships-in-Belgium/Ph-D-Studentship-In-Uncertainty-Quantification-For-Machine-Learning-Ghent-University=uZ-C-59Zvg7U1HfN6vlYBl.html
Belgium,about 1 month ago,PhD position: Overcoming the data limitation in sign language translation,https://scholarshipdb.net/scholarships-in-Belgium/Ph-D-Position-Overcoming-The-Data-Limitation-In-Sign-Language-Translation-Ghent-University=QBw9t9nz7BGUYQAlkGUTnw.html
Belgium,about 1 month ago,PhD studentship in Uncertainty Quantification for Machine Learning at Ghent University (Belgium),https://scholarshipdb.net/scholarships-in-Belgium/Ph-D-Studentship-In-Uncertainty-Quantification-For-Machine-Learning-At-Ghent-University-Belgium-Ghent-University=rM0aQS_kiuFjP1BRahwii7.html
Belgium,,PhD in deep learning for biomedical images of the pelvic floor,https://www.findaphd.com/phds/project/phd-in-deep-learning-for-biomedical-images-of-the-pelvic-floor/?p145918
China,,Immuno-Oncology Prediction Model based on Pathological Image Analysis,https://www.findaphd.com/phds/project/immuno-oncology-prediction-model-based-on-pathological-image-analysis/?p146192
China,,Radar signal processing based on neural network sequence model,https://www.findaphd.com/phds/project/radar-signal-processing-based-on-neural-network-sequence-model/?p144659
China,,Research on Smart Radar for Physical Sign Detection,https://www.findaphd.com/phds/project/research-on-smart-radar-for-physical-sign-detection/?p144648
China,,Research on artificial intelligence algorithms for radar and vision fusion technology,https://www.findaphd.com/phds/project/research-on-artificial-intelligence-algorithms-for-radar-and-vision-fusion-technology/?p144641
Denmark,about 22 hours ago,PhD Project in Developing Resource Efficient Machine Learning Methods,https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Project-In-Developing-Resource-Efficient-Machine-Learning-Methods-University-Of-Copenhagen=9kDZbw0M7RGUYQAlkGUTnw.html
Denmark,about 2 months ago,"PhD Stipends in Graph Data Management, Mining, Systems, and Machine Learning on Graphs (16-22036)",https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Stipends-In-Graph-Data-Management-Mining-Systems-And-Machine-Learning-On-Graphs-16-22036-Aalborg-University=gyk9GKvY7BGUYQAlkGUTnw.html
Europe,2 months ago,PhD position in geomatics focusing on computer vision and machine learning,https://scholarshipdb.net/scholarships-in-Europe/Ph-D-Position-In-Geomatics-Focusing-On-Computer-Vision-And-Machine-Learning-Euraxess=O7gG3LTX7BGUYQAlkGUTnw.html
France,11 days ago,"PhD thesis in Machine Learning, M/F",https://scholarshipdb.net/scholarships-in-France/Ph-D-Thesis-In-Machine-Learning-M-F-Cnrs=OwuJ2kkI7RGUYQAlkGUTnw.html
France,about 1 month ago,PhD in material science (M/F),https://scholarshipdb.net/scholarships-in-France/Ph-D-In-Material-Science-M-F-Cnrs=pe-0iPHy7BGUYQAlkGUTnw.html
Germany,about 10 hours ago,"PhD Position in Artificial Intelligence, Chair of Information Systems Research",https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Position-In-Artificial-Intelligence-Chair-Of-Information-Systems-Research-University-Of-Freiburg=Df8w6hjL3gAK869Z665PUe.html
Germany,about 10 hours ago,PhD project: Combining process-based and deep learning models to understand the dual role of microbes as decomposers and stabilizers of soil carbon,https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Project-Combining-Process-Based-And-Deep-Learning-Models-To-Understand-The-Dual-Role-Of-Microbes-As-Decomposers-And-Stabilizers-Of-Soil-Carbon-Max-Planck-Institute-For-Biogeochemistry-And-Friedrich-Schiller-University-Jena=X-533fj17BGUYQAlkGUTnw.html
Germany,about 10 hours ago,PhD project: Data driven models of individual trees to better understand forest water use,https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Project-Data-Driven-Models-Of-Individual-Trees-To-Better-Understand-Forest-Water-Use-Max-Planck-Institute-For-Biogeochemistry-And-Friedrich-Schiller-University-Jena=ygWg1vj17BGUYQAlkGUTnw.html
Germany,about 10 hours ago,PhD student in Bioinformatics or Computational Biology,https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Student-In-Bioinformatics-Or-Computational-Biology-Leibniz-Institute-Of-Plant-Biochemistry=Qh65xL6g7BGUYAAlkGUTnw.html
Germany,about 1 month ago,PhD student position (f/m/d) in Optimization and Machine Learning (Ref. 22/24),https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Student-Position-F-M-D-In-Optimization-And-Machine-Learning-Ref-22-24-Wias-Im-Forschungsverbund-Berlin-E-V=jYmpG2ba7BGUYQAlkGUTnw.html
Germany,about 1 month ago,PhD studentship in Machine Learning for enzyme kinetics,https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Studentship-In-Machine-Learning-For-Enzyme-Kinetics-Heinrich-Heine-University-D-sseldorf=EZCiJ1mIs4BhZoAy0mJOwJ.html
Germany,2 months ago,Doctoral or Postdoctoral Positions in the Machine Learning and Information Processing Group at TUM,https://scholarshipdb.net/jobs-in-Germany/Doctoral-Or-Postdoctoral-Positions-In-The-Machine-Learning-And-Information-Processing-Group-At-Tum-Technical-University-Of-Munich=sighLY607BGUYQAlkGUTnw.html
Germany,2 months ago,PhD student (m/f/d),https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Student-M-F-D-Leibniz=WwTYTBag7BGUYAAlkGUTnw.html
Germany,3 months ago,PhD Position – Computational quantum many-body physics,https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Position-Computational-Quantum-Many-Body-Physics-J-lich-Research-Centre-Fzj=BVnuwB7J7BGUYQAlkGUTnw.html
Germany,,PhD Student (f/m/d) Data-driven Digital Twin of Infected Cell Dynamics on the Tissue Scale,https://www.findaphd.com/phds/project/phd-student-f-m-d-data-driven-digital-twin-of-infected-cell-dynamics-on-the-tissue-scale/?p145238
Ireland,,P2-08: AI-enabled Cybersecurity Of UAVs In 6G: (Ref: WD_2021_09_SPONS),https://www.findaphd.com/phds/project/p2-08-ai-enabled-cybersecurity-of-uavs-in-6g-ref-wd-2021-09-spons/?p141244
Italy,2 months ago,[EoI] Fully funded scholarship - UniTN Leonardo Labs - New Accelerated Computing Technologies for...,https://scholarshipdb.net/scholarships-in-Italy/Eo-I-Fully-Funded-Scholarship-Uni-Tn-Leonardo-Labs-New-Accelerated-Computing-Technologies-For-University-Of-Trento=rW0ZSRbc7BGUYQAlkGUTnw.html
Luxembourg,14 days ago,PhD candidate in Algorithmic aspects of network slicing over next generation satellite systems,https://scholarshipdb.net/scholarships-in-Luxembourg/Ph-D-Candidate-In-Algorithmic-Aspects-Of-Network-Slicing-Over-Next-Generation-Satellite-Systems-University-Of-Luxembourg=o9njE-MG7RGUYQAlkGUTnw.html
Luxembourg,about 2 months ago,PhD Candidates / Spontaneous Applications,https://scholarshipdb.net/scholarships-in-Luxembourg/Ph-D-Candidates-Spontaneous-Applications-Interdisciplinary-Centre-For-Security-Reliability-And-Trust-Sn-T-University-Of-Luxembourg=ihCHS_Dr7BGUYQAlkGUTnw.html
Luxembourg,3 months ago,Doctoral Candidate (PhD student) in Applied Artificial Intelligence and Machine Learning for...,https://scholarshipdb.net/scholarships-in-Luxembourg/Doctoral-Candidate-Ph-D-Student-In-Applied-Artificial-Intelligence-And-Machine-Learning-For-University-Of-Luxembourg=8CS5Ln3K7BGUYQAlkGUTnw.html
Netherlands,2 days ago,PhD Position Data-Efficient Deep Learning for Autonomous Driving,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-Data-Efficient-Deep-Learning-For-Autonomous-Driving-Delft-University-Of-Technology=vkrZPaH77BGUYQAlkGUTnw.html
Netherlands,2 days ago,PhD Positions in Data-driven Cybersecurity,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Positions-In-Data-Driven-Cybersecurity-Delft-University-Of-Technology=Asm2IW-r7BGUYQAlkGUTnw.html
Netherlands,2 days ago,PhD in Proton Therapy Optimization,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-In-Proton-Therapy-Optimization-Delft-University-Of-Technology=ttzqTFgO7RGUYQAlkGUTnw.html
Netherlands,2 days ago,PhD position in applied cryptography,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-In-Applied-Cryptography-Delft-University-Of-Technology=dRd3ipD37BGUYQAlkGUTnw.html
Netherlands,4 days ago,PhD Position for Uncertainty-aware AI-based Predictive Model for Treatment Decision Making,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-For-Uncertainty-Aware-Ai-Based-Predictive-Model-For-Treatment-Decision-Making-University-Of-Amsterdam=REJG2hf27BGUYQAlkGUTnw.html
Netherlands,4 days ago,PhD in AI and model reduction for nuclear safety,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-In-Ai-And-Model-Reduction-For-Nuclear-Safety-Delft-University-Of-Technology=P5FYQFgO7RGUYQAlkGUTnw.html
Netherlands,5 days ago,PhD position in machine learning for uncertainty-aware and explainable models of natural language,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-In-Machine-Learning-For-Uncertainty-Aware-And-Explainable-Models-Of-Natural-Language-University-Of-Amsterdam=1JkvYB0M7RGUYQAlkGUTnw.html
Netherlands,10 days ago,PhD Deep learning approaches to improve application of transmission electron microscopy for characterizing nanoparticles in food and consumer products in the European regulatory framework,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Deep-Learning-Approaches-To-Improve-Application-Of-Transmission-Electron-Microscopy-For-Characterizing-Nanoparticles-In-Food-And-Consumer-Products-In-The-European-Regulatory-Framework-Maastricht-University=A3ZYQ3AH7RGUYQAlkGUTnw.html
Netherlands,17 days ago,PhD Position in Machine Learning for Natural Language Processing,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-In-Machine-Learning-For-Natural-Language-Processing-University-Of-Amsterdam-Uv-A=02omRHQD7RGUYQAlkGUTnw.html
Netherlands,18 days ago,PhD Position in Machine Learning for Natural Language Processing,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-In-Machine-Learning-For-Natural-Language-Processing-University-Of-Amsterdam=x9IkWrQC7RGUYQAlkGUTnw.html
